full_name,spkid,neo,pha,a,e,i,q,ad,per,n,ma,H,diameter,albedo,rot_per,GM,spec_B,spec_T,full_name_gaia,da_dt,e_da_dt,SNR,FAccept,normalized_name,number_only,clean_name
(2018 HG2),3819574,True,False,1.19,0.33,14.3,0.801,1.59,477.0,0.754,352.0,24.26,,,,,,,2018 HG2,-0.0186273,0.00187617,9.92841,Rej.,2018 hg2,2018,2018 HG2
264357 (2000 AZ93),20264357,True,True,0.747,0.36,8.59,0.478,1.02,236.0,1.53,202.0,21.17,0.113,0.037,,,,,264357,-0.00272009,0.000274962,9.89259,1,264357,264357,264357
(2017 OU18),3778624,True,False,0.826,0.377,30.4,0.514,1.14,274.0,1.31,206.0,23.98,,,,,,,2017 OU18,0.0050893,0.000517278,9.8386,1,2017 ou18,2017,2017 OU18
(2005 RZ2),3289743,True,False,1.11,0.103,13.2,0.992,1.22,425.0,0.847,47.3,23.3,,,,,,,2005 RZ2,-0.00509821,0.000523319,9.74206,1,2005 rz2,2005,2005 RZ2
326290 Akhenaten (1998 HE3),20326290,True,True,0.879,0.44,3.38,0.492,1.27,301.0,1.2,63.6,21.83,,,,,,,326290,-0.00178066,0.000182864,9.73762,1,326290,326290,326290
216985 (2000 QK130),20216985,True,True,1.18,0.262,4.72,0.871,1.49,469.0,0.768,305.0,21.34,,,,,,,216985,0.00445685,0.000463975,9.60581,1,216985,216985,216985
(1996 AE2),3008362,True,False,1.37,0.257,37.4,1.02,1.72,584.0,0.616,270.0,20.23,,,,,,,1996 AE2,0.00205404,0.000215521,9.53058,1,1996 ae2,1996,1996 AE2
488453 (1994 XD),20488453,True,True,2.34,0.734,4.33,0.624,4.06,1310.0,0.275,233.0,19.24,,,2.7365,,,,488453,0.00137359,0.000145685,9.42848,1,488453,488453,488453
(2009 OS5),3465236,True,False,1.15,0.0994,1.71,1.03,1.26,449.0,0.801,146.0,24.4,,,,,,,2009 OS5,-0.0130499,0.00139317,9.36705,1,2009 os5,2009,2009 OS5
613862 (2007 UY1),20613862,True,False,0.949,0.176,1.02,0.782,1.12,338.0,1.07,302.0,23.1,,,,,,,613862,-0.00819709,0.000877417,9.34229,1,613862,613862,613862
